timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2776836004,2776835641,-0.9800149,0.0062348247,-0.011084384,0.19851765,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776886128,2776885641,-0.9802068,0.006047221,-0.012189055,0.19750841,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776935973,2776935641,-0.9803839,0.0072104526,-0.012661008,0.19655861,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2776985990,2776985641,0.98045266,-0.0075464635,0.013413642,-0.19615248,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777036078,2777035608,0.98055613,-0.007960422,0.013516147,-0.19561131,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777085968,2777085515,0.98069555,-0.008217736,0.013328096,-0.19491315,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777136048,2777135682,0.98081833,-0.007923609,0.01298258,-0.19433016,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777186100,2777185581,0.98095536,-0.0067841406,0.01277752,-0.1936938,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777236005,2777235516,0.98109967,-0.005617114,0.012462587,-0.19302009,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777285982,2777285641,0.98119843,-0.005851228,0.012184821,-0.19252786,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777335955,2777335568,0.9813334,-0.0056893197,0.012404357,-0.19182968,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777385995,2777385662,0.98144907,-0.0064611644,0.012909426,-0.19117916,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777436008,2777435641,0.9815898,-0.0063395635,0.013787505,-0.19039753,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777480983,2777480641,0.9817079,-0.006898558,0.013990302,-0.18975344,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777535960,2777535641,0.9818804,-0.007601251,0.014243195,-0.18881287,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777586005,2777585641,0.9820588,-0.008571091,0.014067423,-0.18785411,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777636010,2777635542,0.9822398,-0.007877119,0.01415293,-0.18692993,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777685983,2777685641,0.9824436,-0.0087699285,0.013201143,-0.18588555,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777736016,2777735641,0.9826559,-0.009665763,0.011507578,-0.18482901,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777785989,2777785516,0.9828757,-0.009385752,0.011436968,-0.1836751,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777836060,2777835682,0.98304963,-0.008050128,0.012409494,-0.18274197,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2777885922,2777885516,0.98322666,-0.008158799,0.012467282,-0.18177854,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
