t,x,y
7636000,4.839907510384391,11.125216110769017
7660000,4.902763235259378,11.114465016962138
7676000,4.97861750104418,11.101615977031061
7696000,5.02953294644229,11.093099815641764
7716000,5.093462195556509,11.082494446384684
7736000,5.1577418530931824,11.071928702194997
7756000,5.222359139044966,11.061408257768088
7776000,5.287310563028355,11.050939121663568
7800000,5.352590210995869,11.040522582561362
7816000,5.431310263507964,11.028071291591145
7836000,5.48409962265304,11.019811905159703
7856000,5.55033487191341,11.009524345736695
7876000,5.616877861134884,10.99927069841904
7896000,5.68372855303421,10.989051983595227
7916000,5.75087588555109,10.978869174261362
7936000,5.818319587999203,10.96872081380534
7956000,5.886055515645612,10.958609447119164
7976000,5.954070717764147,10.948529287409471
7996000,6.022369950865418,10.938487235208347
8016000,6.090949566148978,10.928495083778026
8036000,6.159805877806278,10.918554796337123
8056000,6.228934392270987,10.908651144248195
8076000,6.298331205727289,10.898786010280359
8096000,6.367990055949303,10.888954367578945
8116000,6.437896562346414,10.879158528303941
8136000,6.508055246147985,10.869398455783102
8156000,6.5784557205410925,10.859677437395856
8180000,6.64909253608236,10.849991731664328
8196000,6.734141320599849,10.838416784564771
8216000,6.791068356842066,10.830731592513077
8236000,6.862424336968722,10.821149173126898
8260000,6.934025736022147,10.811597520559237
8280000,7.020236650030461,10.800178053012665
8300000,7.092364459434135,10.790706777630808
8316000,7.164728222895146,10.781264520877153
8336000,7.222800982678172,10.773729238624083
8356000,7.29557899848946,10.764323415012122
8376000,7.368587162657978,10.754936195291064
8400000,7.441816873446198,10.745567698751715
8416000,7.529958018339771,10.73434857137153
8440000,7.5889285952194685,10.726886918995849
8456000,7.677589854747883,10.715707545092824
8480000,7.736896010393647,10.708276883471893
8496000,7.82604750961639,10.697152936767065
8516000,7.885676824036769,10.689756561484806
8536000,7.960375744124142,10.68052704430723
8560000,8.035272201404055,10.67132114521753
8580000,8.125376932010639,10.66029775842163
8600000,8.200681076220171,10.651140344352545
8616000,8.27616297410181,10.642004793253516
8636000,8.336697845812914,10.634709780002144
8656000,8.412515141522746,10.625601161169952
8680000,8.488517488010203,10.616505099609245
8700000,8.579944346585156,10.605601222157626
8716000,8.656364507300973,10.596528520890173
8740000,8.717652765825097,10.589279938964335
8756000,8.80976720314144,10.578423519756162
8776000,8.871343187920102,10.571206283722516
8800000,8.948451768980851,10.562199173283918
8816000,9.041165217108224,10.551406522684339
8836000,9.10311942875314,10.544227633135975
8856000,9.180679334030964,10.53526394118718
8876000,9.258389933849509,10.52631648029664
8896000,9.336252547468584,10.517376205250226
8916000,9.414267962811081,10.508436363363078
8936000,9.492438548071629,10.499505924457388
8960000,9.570760297214061,10.490581167550976
8976000,9.664931434711276,10.479882172000794
8996000,9.727861969040422,10.47276320329599
9016000,9.806644122610447,10.463875833519197
9036000,9.885564721638065,10.454992395490917
9056000,9.964621428253364,10.44611021170187
9076000,10.043816249985875,10.437229609224874
9096000,10.123144139603122,10.428349714065424
9116000,10.202602936228475,10.419464073353803
9136000,10.282189883507606,10.410573085335109
9156000,10.36191138635296,10.401680860779777
9176000,10.441759240939232,10.392778233869603
9200000,10.521734895655454,10.383873308948374
9216000,10.617864853194023,10.373196604876828
9240000,10.682075928550098,10.366087274265249
9256000,10.778514579993725,10.355444408103619
9276000,10.842919049934403,10.348356160163982
9300000,10.923524384783716,10.339497647590651
